,cnty_fips,display_name,Value,theme_range,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,povpct,perc_aian,perc_api,perc_black,perc_white,perc_hisp,perc_65up,total_pop,year,Y
120,48241,"""Jasper, (TX)""",23.2,20.0 - 23.7 (52),10.6,31.6,22.7,19.2,0.1,0.5,16.7,74.7,6.4,18.4,35444,2005-2007,822.3
121,48243,"""Jeff Davis, (TX)""",16.0,11.5 - 16.0 (51),8.5,26.5,21.7,13.0,0.1,1.4,0.6,60.8,36.2,31.2,2236,2005-2007,35.78
122,48245,"""Jefferson, (TX)""",25.2,23.8 - 27.7 (49),11.8,34.2,28.6,20.1,0.2,3.6,33.7,41.6,19.5,13.7,254574,2005-2007,6415.26
123,48247,"""Jim Hogg, (TX)""",35.0,27.8 - 62.1 (49),9.0,28.5,21.1,27.9,0.0,0.0,0.0,5.8,93.8,18.6,5262,2005-2007,184.17
124,48249,"""Jim Wells, (TX)""",33.4,27.8 - 62.1 (49),9.0,30.0,23.2,23.2,0.0,0.6,0.5,18.2,80.2,14.3,41318,2005-2007,1380.02
125,48251,"""Johnson, (TX)""",23.4,20.0 - 23.7 (52),8.5,29.2,21.7,11.3,0.4,1.1,2.8,73.6,20.2,13.5,160173,2005-2007,3748.05
126,48253,"""Jones, (TX)""",27.6,23.8 - 27.7 (49),9.4,30.3,25.9,21.3,0.1,0.2,14.4,54.7,27.1,14.7,19969,2005-2007,551.14
127,48255,"""Karnes, (TX)""",23.0,20.0 - 23.7 (52),9.2,29.9,22.7,21.8,0.0,0.1,8.7,37.7,52.9,14.3,15051,2005-2007,346.17
128,48257,"""Kaufman, (TX)""",27.1,23.8 - 27.7 (49),9.5,30.2,25.4,11.4,0.4,1.1,10.3,66.5,19.8,11.8,114852,2005-2007,3112.49
129,48259,"""Kendall, (TX)""",12.6,11.5 - 16.0 (51),7.3,25.9,18.9,7.4,0.0,0.7,0.6,73.5,23.0,18.6,40306,2005-2007,507.86
130,48261,"""Kenedy, (TX)""",28.8,27.8 - 62.1 (49),8.8,27.1,21.5,16.2,0.0,0.1,0.0,11.3,88.4,14.7,564,2005-2007,16.24
131,48263,"""Kent, (TX)""",21.8,20.0 - 23.7 (52),8.6,27.6,21.9,11.5,0.5,0.0,0.7,77.0,21.6,27.9,680,2005-2007,14.82
132,48265,"""Kerr, (TX)""",11.5,11.5 - 16.0 (51),10.1,28.8,21.7,14.8,0.1,1.0,1.4,69.8,26.1,26.7,50761,2005-2007,583.75
133,48267,"""Kimble, (TX)""",12.2,11.5 - 16.0 (51),8.7,31.4,23.6,19.4,0.4,0.0,0.0,74.3,23.6,30.1,4432,2005-2007,54.07
134,48269,"""King, (TX)""",-1.0,,8.7,28.3,21.2,10.7,0.0,0.0,0.0,73.3,26.6,7.3,289,2005-2007,-0.29
135,48271,"""Kinney, (TX)""",21.1,20.0 - 23.7 (52),8.6,28.9,20.8,20.0,0.0,0.0,0.1,38.0,61.8,17.6,3631,2005-2007,76.61
136,48273,"""Kleberg, (TX)""",34.9,27.8 - 62.1 (49),9.3,28.5,22.7,22.9,0.1,2.0,3.4,20.9,72.3,12.7,31540,2005-2007,1100.75
137,48275,"""Knox, (TX)""",18.0,16.1 - 19.9 (51),9.2,29.0,22.3,21.1,0.1,0.1,5.9,59.3,33.4,18.4,3753,2005-2007,67.55
138,48277,"""Lamar, (TX)""",21.9,20.0 - 23.7 (52),10.5,34.6,31.6,19.9,0.3,1.1,12.3,74.9,7.4,18.4,49401,2005-2007,1081.88
139,48279,"""Lamb, (TX)""",24.9,23.8 - 27.7 (49),9.5,32.3,22.9,21.5,0.2,0.5,3.6,39.7,54.9,16.0,13368,2005-2007,332.86
140,48281,"""Lampasas, (TX)""",20.6,20.0 - 23.7 (52),8.1,29.1,24.7,13.6,0.4,2.1,3.0,72.8,19.2,17.7,20473,2005-2007,421.74
141,48283,"""La Salle, (TX)""",28.3,27.8 - 62.1 (49),8.8,28.5,20.7,26.2,0.0,0.1,1.2,17.6,79.9,15.7,7418,2005-2007,209.93
142,48285,"""Lavaca, (TX)""",13.9,11.5 - 16.0 (51),9.1,31.2,25.2,12.5,0.0,0.3,6.6,74.2,18.0,22.5,19859,2005-2007,276.04
143,48287,"""Lee, (TX)""",21.2,20.0 - 23.7 (52),9.5,31.1,26.4,12.7,0.0,0.8,10.9,63.6,23.2,17.3,16850,2005-2007,357.22
144,48289,"""Leon, (TX)""",23.9,23.8 - 27.7 (49),10.2,30.0,26.0,18.0,0.5,0.9,7.1,76.5,14.1,23.5,16966,2005-2007,405.49
145,48291,"""Liberty, (TX)""",29.8,27.8 - 62.1 (49),10.1,28.2,25.2,15.9,0.3,0.5,9.9,65.8,21.8,12.8,79884,2005-2007,2380.54
146,48293,"""Limestone, (TX)""",28.2,27.8 - 62.1 (49),10.3,33.9,27.7,21.1,0.2,0.6,17.6,59.2,21.2,17.8,23480,2005-2007,662.14
147,48295,"""Lipscomb, (TX)""",16.7,16.1 - 19.9 (51),8.6,28.2,24.1,12.4,0.6,0.7,0.3,66.0,29.9,14.9,3495,2005-2007,58.37
148,48297,"""Live Oak, (TX)""",33.1,27.8 - 62.1 (49),9.4,28.9,23.8,17.2,0.0,0.6,2.4,57.6,38.7,19.8,12043,2005-2007,398.62
149,48299,"""Llano, (TX)""",14.2,11.5 - 16.0 (51),8.4,28.4,23.9,13.4,0.1,0.3,0.7,87.1,9.8,35.5,20195,2005-2007,286.77
150,48301,"""Loving, (TX)""",-1.0,,9.0,27.9,21.6,13.3,5.4,0.0,0.0,74.3,16.2,24.3,74,2005-2007,-0.07
151,48303,"""Lubbock, (TX)""",27.7,23.8 - 27.7 (49),8.5,32.4,27.1,18.9,0.3,2.1,6.8,54.5,34.4,11.8,298042,2005-2007,8255.76
