"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj","povpct","perc_aian","perc_api","perc_black","perc_white","perc_hisp","perc_65up","total_pop"
48291,"""Liberty, (TX)""",23.8,"20.1 - 24.2 (52)",10.1,28.2,25.2,15.9,0.3,0.5,9.9,65.8,21.8,12.8,79884
48293,"""Limestone, (TX)""",31.1,"24.3 - 52.5 (48)",10.3,33.9,27.7,21.1,0.2,0.6,17.6,59.2,21.2,17.8,23480
48295,"""Lipscomb, (TX)""",17,"16.6 - 20.0 (51)",8.6,28.2,24.1,12.4,0.6,0.7,0.3,66,29.9,14.9,3495
48297,"""Live Oak, (TX)""",25.2,"24.3 - 52.5 (48)",9.4,28.9,23.8,17.2,0,0.6,2.4,57.6,38.7,19.8,12043
48299,"""Llano, (TX)""",12.5,"4.4 - 13.4 (52)",8.4,28.4,23.9,13.4,0.1,0.3,0.7,87.1,9.8,35.5,20195
48301,"""Loving, (TX)""",-1,,9,27.9,21.6,13.3,5.4,0,0,74.3,16.2,24.3,74
48303,"""Lubbock, (TX)""",23,"20.1 - 24.2 (52)",8.5,32.4,27.1,18.9,0.3,2.1,6.8,54.5,34.4,11.8,298042
48305,"""Lynn, (TX)""",21.1,"20.1 - 24.2 (52)",9.1,27.9,22.9,17.9,0.4,0.2,1.3,49.3,47.1,16.8,5785
48307,"""McCulloch, (TX)""",9.1,"4.4 - 13.4 (52)",8.7,28.5,24.4,18.4,0,0,1.9,62.2,31.5,21.3,8145
48309,"""McLennan, (TX)""",15.3,"13.5 - 16.5 (49)",9.6,30.6,23.6,18.5,0.1,1.5,14.1,56.7,25.6,13.6,245720
48311,"""McMullen, (TX)""",24.6,"24.3 - 52.5 (48)",8.8,31.3,26.7,12,0.8,0,0,48.6,50.5,26.5,600
48313,"""Madison, (TX)""",14.7,"13.5 - 16.5 (49)",9.7,29.5,23.7,17.3,0.1,1.2,17.3,55.7,22.4,15,13979
48315,"""Marion, (TX)""",22.8,"20.1 - 24.2 (52)",10.5,31.3,25.1,22.6,0.3,0.1,23.6,70.8,3.8,24.5,10140
48317,"""Martin, (TX)""",8.9,"4.4 - 13.4 (52)",8.5,29.6,25.1,13,0.4,0,0.6,53.6,45,12.1,5547
48319,"""Mason, (TX)""",11.4,"4.4 - 13.4 (52)",8.9,27.9,21.9,13.2,0.2,2.4,0,71.8,24.2,25.9,4122
48321,"""Matagorda, (TX)""",15.7,"13.5 - 16.5 (49)",10.1,30.8,24.4,17.4,0.4,2.1,10.1,44.9,41.4,15.7,36744
48323,"""Maverick, (TX)""",35.6,"24.3 - 52.5 (48)",9.6,30.4,24.9,24.3,1.1,0.4,0.2,2.6,95.2,11.2,57471
48325,"""Medina, (TX)""",17.1,"16.6 - 20.0 (51)",10.6,31.6,20.7,14.4,0.3,0.6,2.3,44.5,51.2,15.9,48548
48327,"""Menard, (TX)""",10.3,"4.4 - 13.4 (52)",9.1,28.5,23.1,21.4,0.5,0,0.6,58.9,37.3,27.2,2123
48329,"""Midland, (TX)""",14.6,"13.5 - 16.5 (49)",8.2,32.7,25.6,9.7,0.3,1.8,5.8,47.3,43.2,10.2,159883
48331,"""Milam, (TX)""",14.1,"13.5 - 16.5 (49)",9,31.5,21.7,16.3,0.1,0.4,8.4,62.9,25.7,19.6,24479
48333,"""Mills, (TX)""",18.2,"16.6 - 20.0 (51)",8.5,28.1,23.6,15.8,0,0,0.2,81.2,18.2,27.5,4887
48335,"""Mitchell, (TX)""",13,"4.4 - 13.4 (52)",9.3,30.6,22.8,21.6,0.3,0.3,10.2,48.6,39.2,14.4,8774
48337,"""Montague, (TX)""",27,"24.3 - 52.5 (48)",8.8,27.6,24.1,16.5,0.2,0,0.2,86.3,10.6,22.1,19406
48339,"""Montgomery, (TX)""",20.1,"20.1 - 24.2 (52)",8.1,23.4,21.3,10.9,0.1,2.8,4.4,67.8,22.9,12.3,535187
48341,"""Moore, (TX)""",23.5,"20.1 - 24.2 (52)",9,30.4,22.9,11.8,0.2,7.8,3.1,33.6,54.1,9.8,22016
48343,"""Morris, (TX)""",15.9,"13.5 - 16.5 (49)",9.9,31.5,25.6,20,0.3,0.1,23.5,65.1,9.1,20.8,12530
48345,"""Motley, (TX)""",20.3,"20.1 - 24.2 (52)",8.7,27.7,21.2,18.2,0,0,3.5,76.4,16.3,28.8,1114
48347,"""Nacogdoches, (TX)""",25.8,"24.3 - 52.5 (48)",12.7,33.9,27.5,25.4,0.2,1.6,17.1,59.9,18.9,13.2,65411
48349,"""Navarro, (TX)""",22.1,"20.1 - 24.2 (52)",9,27.3,25.8,17.8,0.3,1.6,13.1,57.2,26.2,16.4,48239
48351,"""Newton, (TX)""",21.3,"20.1 - 24.2 (52)",10,30.7,24.9,22.8,0.1,0,21.3,73.6,3.4,19.1,14187
48353,"""Nolan, (TX)""",28.7,"24.3 - 52.5 (48)",9.6,31.3,27.2,18.4,0.3,0.2,4.8,57,36.3,17.5,14990
48355,"""Nueces, (TX)""",21.9,"20.1 - 24.2 (52)",11.3,33.8,22.5,15.1,0.2,1.9,3.6,30.3,62.9,13.3,358484
48357,"""Ochiltree, (TX)""",7.1,"4.4 - 13.4 (52)",9.6,30,26.4,11.4,0.6,0.1,0.1,44.4,52.9,10.1,10484
