"","cnty_fips","display_name","Y","theme_range","X","year","E","SIR"
"215",48429,"""Stephens, (TX)""",59.9,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.1
"216",48431,"""Sterling, (TX)""",61,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.12
"217",48433,"""Stonewall, (TX)""",31.8,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.58
"218",48435,"""Sutton, (TX)""",42.8,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.79
"219",48437,"""Swisher, (TX)""",40.8,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.75
"220",48439,"""Tarrant, (TX)""",57,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.05
"221",48441,"""Taylor, (TX)""",53.1,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,0.97
"222",48443,"""Terrell, (TX)""",55.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.02
"223",48445,"""Terry, (TX)""",78.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.44
"224",48447,"""Throckmorton, (TX)""",43.7,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.8
"225",48449,"""Titus, (TX)""",77.7,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.43
"226",48451,"""Tom Green, (TX)""",57.6,"50.8 - 58.7 (51)",NA,"2014-2016",54.4850393700787,1.06
"227",48453,"""Travis, (TX)""",46.3,"42.5 - 50.7 (49)",NA,"2014-2016",54.4850393700787,0.85
"228",48455,"""Trinity, (TX)""",79.4,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.46
"229",48457,"""Tyler, (TX)""",71.1,"65.9 - 103.1 (50)",NA,"2014-2016",54.4850393700787,1.3
"230",48459,"""Upshur, (TX)""",62.9,"58.8 - 65.8 (50)",NA,"2014-2016",54.4850393700787,1.15
"231",48461,"""Upton, (TX)""",40.6,"19.6 - 42.4 (52)",NA,"2014-2016",54.4850393700787,0.75
